college,branch,category,closing_rank,closing_percentile
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GOPEN,1282,92.74
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GST,28609,76.79
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,GOBC,1927,91.79
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LOPEN,1147,93.0
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LSC,2355,91.26
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,LSEBC,5376,88.53
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,EWS,4977,88.84
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GOPEN,647,94.0
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GSC,2695,90.86
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GST,21009,80.06
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GOBC,698,93.89
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,GSEBC,1761,92.0
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,LOPEN,564,94.25
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,EWS,373,94.9
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GOPEN,1041,93.16
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GSC,4279,89.37
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,GOBC,1188,92.91
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LOPEN,784,93.66
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LST,27376,77.31
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,LSEBC,3533,90.0
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,EWS,2798,90.74
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GOPEN,1329,92.67
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GST,22438,79.45
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GOBC,2157,91.5
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,GSEBC,3250,90.28
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LOPEN,2227,91.42
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LSC,11282,84.83
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,LOBC,5304,88.61
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,EWS,5052,88.79
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GOPEN,2103,91.58
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GSC,5520,88.41
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GOBC,2606,90.94
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,GSEBC,4309,89.35
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,LOPEN,1473,92.42
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,LST,20637,80.24
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,EWS,1472,92.42
"1002 Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,GOPEN,9407,85.92
"1002 Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,GSC,16600,82.12
"1002 Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,LOPEN,9677,85.76
"1002 Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,LOBC,13581,83.61
"1002 Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,EWS,8732,86.29
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,GOPEN,1305,92.71
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,GST,32208,75.28
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,GOBC,2820,90.73
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,LOPEN,4882,88.92
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,LSC,20481,80.31
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,LOBC,13101,83.88
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,LSEBC,11779,84.56
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,EWS,15868,82.47
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Food Technology,GOPEN,37542,73.0
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Food Technology,LOPEN,30354,76.06
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Oil and Paints Technology,GOPEN,7654,87.0
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Oil and Paints Technology,LOPEN,49945,66.7
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Petro Chemical Engineering,GOPEN,57326,56.3
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,GOPEN,4302,89.37
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,GST,35276,74.0
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,GOBC,6425,87.77
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,LOPEN,6418,87.77
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,LSC,11319,84.81
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,LOBC,6420,87.77
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,LSEBC,13187,83.83
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,EWS,16640,82.11
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,GOPEN,7165,87.29
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,GOBC,12119,84.35
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,LOPEN,6794,87.53
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,LSC,22158,79.6
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,LSEBC,14905,82.94
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,EWS,24188,78.71
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,GOPEN,2682,90.86
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,GST,29972,76.23
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,GOBC,3034,90.47
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,LOPEN,2159,91.49
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,LSC,11967,84.46
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,LSEBC,4323,89.33
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,EWS,2528,91.03
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,GOPEN,3484,90.06
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,GSC,8971,86.17
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,GSEBC,5464,88.46
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,LOPEN,2027,91.66
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,LOBC,2928,90.58
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,EWS,12061,84.4
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],GOPEN,4329,89.33
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],GST,50576,66.28
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],GNTA,25978,77.94
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],GOBC,4860,88.94
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],LOPEN,5747,88.28
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],LSC,13159,83.83
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],LSEBC,40792,71.56
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],EWS,17916,81.5
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,GOPEN,5718,88.29
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,GSC,15513,82.65
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,GNTC,7642,87.0
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,GOBC,6410,87.78
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,LOPEN,5436,88.47
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,LNTB,31538,75.59
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,LOBC,6613,87.65
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,LSEBC,6609,87.65
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,EWS,14352,83.24
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,GOPEN,10411,85.32
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,GOBC,18022,81.44
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,GSEBC,24171,78.72
